,ema3,ema13,ema144,high,low,close,open,start,end,buy,sell,loss,balance,date
1497272400.0,2741.9595714285715,2787.5418196412193,2855.131044889314,2756.688,2682.314,2716.449,2741.001,1497272400.0,1497274200.0,,,,436.1232228211,2017-06-12 18:00:00
1497274200.0,2730.236285714286,2773.300305922421,2852.9492931506516,2744.019,2702.022,2735.022,2714.303,1497274200.0,1497276000.0,,,,436.1232228211,2017-06-12 18:30:00
1497276000.0,2730.5695714285716,2764.1047707234493,2851.0802157752178,2766.695,2735.022,2743.018,2735.022,1497276000.0,1497277800.0,,,,436.1232228211,2017-06-12 19:00:00
1497277800.0,2736.9378571428574,2757.6651119464796,2849.3479618480833,2750.0,2718.061,2738.699,2743.013,1497277800.0,1497279600.0,,,,436.1232228211,2017-06-12 19:30:00
1497279600.0,2739.407714285714,2751.142903556666,2847.587968671467,2738.746,2685.001,2692.036,2738.7,1497279600.0,1497281400.0,,,,436.1232228211,2017-06-12 20:00:00
1497281400.0,2712.651428571429,2738.512658775949,2845.113224863199,2713.999,2672.851,2701.996,2694.0,1497281400.0,1497283200.0,,,,436.1232228211,2017-06-12 20:30:00
1497283200.0,2704.3935714285717,2729.2672866039907,2842.8319474347463,2721.793,2669.414,2694.998,2701.996,1497283200.0,1497285000.0,,,,436.1232228211,2017-06-12 21:00:00
1497285000.0,2696.574285714286,2719.7199118395565,2840.5014054259555,2695.0,2521.629,2569.366,2694.998,1497285000.0,1497286800.0,,,,436.1232228211,2017-06-12 21:30:00
1497286800.0,2624.2079999999996,2692.996278215447,2836.1886763129,2602.0,2466.93,2497.999,2569.964,1497286800.0,1497288600.0,,,,436.1232228211,2017-06-12 22:00:00
1497288600.0,2546.5322857142855,2660.9319558336115,2830.766728635438,2520.475,2400.0,2471.0,2498.999,1497288600.0,1497290400.0,,,,436.1232228211,2017-06-12 22:30:00
1497290400.0,2492.766285714286,2627.549609855198,2824.981932315348,2574.39,2471.0,2556.887,2471.0,1497290400.0,1497292200.0,,,,436.1232228211,2017-06-12 23:00:00
